;lat;lon;ciudad;zona;localidad;barrio;habitaciones;baños;area;area_privada;precio;moneda;tipo_propiedad;tipo_operacion
1110;4.671;-74.097;Bogotá D.C;Zona Occidental;Engativa;Bosque Popular;5.0;2.0;164.0;164.0;740000000.0;COP;Casa;Venta
1111;4.663;-74.117;Bogotá D.C;Zona Occidental;Fontibón;Modelia;3.0;2.0;98.0;106.0;550000000.0;COP;Apartamento;Venta
1112;4.672;-74.043;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;2.0;3.0;89.0;89.0;720000000.0;COP;Apartamento;Venta
1113;4.692;-74.041;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;4.0;317.0;257.0;1900000000.0;COP;Casa;Venta
1114;4.72;-74.03;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;5.0;220.0;244.0;1200000000.0;COP;Casa;Venta
1115;4.711;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;2.0;2.0;91.0;91.0;550000000.0;COP;Apartamento;Venta
1116;4.654;-74.058;Bogotá D.C;Zona Chapinero;Chapinero;Quinta Camacho;3.0;3.0;80.0;80.0;490000000.0;COP;Apartamento;Venta
1117;4.6739999999999995;-74.05199999999999;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;4.0;160.0;160.0;650000000.0;COP;Apartamento;Venta
1118;4.727;-74.066;Bogotá D.C;Zona Noroccidental;Suba;Colina Campestre;3.0;2.0;94.0;94.0;380000000.0;COP;Apartamento;Venta
1119;4.739;-74.06;Bogotá D.C;Zona Noroccidental;Suba;Mazuren;3.0;3.0;164.0;164.0;750000000.0;COP;Casa;Venta
1120;4.707;-74.063;Bogotá D.C;Zona Noroccidental;Suba;El Batán;4.0;3.0;250.0;250.0;850000000.0;COP;Casa;Venta
1121;4.643;-74.14;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;2.0;48.0;48.0;195000000.0;COP;Apartamento;Venta
1122;4.702;-74.033;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;69.0;69.0;460000000.0;COP;Apartamento;Venta
1123;4.718999999999999;-74.039;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;3.0;98.0;120.0;465000000.0;COP;Casa;Venta
1124;4.699;-74.042;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;65.0;65.0;360000000.0;COP;Apartamento;Venta
1125;4.687;-74.04899999999999;Bogotá D.C;Zona Norte;Usaquén;Chico Navarra;3.0;3.0;138.0;138.0;1050000000.0;COP;Apartamento;Venta
1126;4.7010000000000005;-74.031;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;1.0;2.0;57.0;57.0;420000000.0;COP;Apartamento;Venta
1127;4.671;-74.039;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;5.0;7.0;1500.0;1400.0;20000000000.0;COP;Casa;Venta
